Run_ID	 duration	 Date_CV        	 Date_Err	 OK   	 LOST 	 Reco_CV	 After_Zneg	 nS1_0	 nS1_1	 nS1_NOPolike	 After_S1	 After_S2	 nElectron	 Clean_nElectron	 nElectron_Trg2	 nElectron_Fiducial	 nElectron_Tube	 nElectron_Anode	 nElectron_Cathode	 nAlpha	 Clean_nAlpha	 nAlpha_Trg2	 nAlpha_Fiducial	 nAlpha_Tube	 nAlpha_Anode	 nAlpha_Cathode
 15647	    86629	 1755281542.6315	 187.2068	 30767	  8406	   30442	      22479	  2540	 18845	        16570	    19110	    18017	     13013	           13004	           9758	                232	           7409	            1152	               965	   5004	         5003	        4969	            1027	         604	          144	           3194
 15648	    86466	 1755368391.5946	 186.3036	 31033	  8393	   30741	      22589	  2537	 18878	        16547	    19084	    17997	     12795	           12789	           9643	                286	           7311	            1125	               921	   5202	         5199	        5151	            1060	         653	          167	           3271
 15649	    86270	 1755455368.6256	 185.6241	 30639	  8153	   30270	      22369	  2477	 18888	        16544	    19021	    17917	     12953	           12945	           9663	                275	           7312	            1114	               962	   4964	         4962	        4928	             940	         639	          152	           3197
 15650	    22096	 1755509436.7136	  92.5548	  8044	  2227	    7966	       5896	   641	  4937	         4332	     4973	     4696	      3344	            3343	           2455	                 61	           1844	             296	               254	   1352	         1352	        1343	             299	         169	           28	            847
 15655	    80788	 1755576428.1100	 285.2609	 28802	  7950	   28435	      21076	   778	  6605	         6154	     6932	     6448	      4835	            4828	           3396	                171	           2563	             331	               331	   1613	         1612	        1607	             321	         235	           32	           1019
 15656	    85998	 1755656811.5339	 243.7943	 30696	  8311	   30309	      22355	  1242	 10763	         9935	    11177	    10279	      7563	            7558	           5488	                213	           4295	             501	               479	   2716	         2716	        2696	             617	         317	           51	           1711
 15657	    86237	 1755741958.4532	 244.6133	 30399	  8587	   30031	      22031	  1326	 10830	         9988	    11314	    10417	      7713	            7703	           5616	                226	           4324	             556	               510	   2704	         2703	        2684	             563	         325	           63	           1733
 15658	    86032	 1755829303.0761	 240.2858	 30601	  8224	   30216	      22221	  1330	 11003	        10176	    11506	    10636	      7869	            7863	           5694	                223	           4397	             562	               512	   2767	         2766	        2745	             568	         383	           42	           1752
 15659	    86242	 1755914180.0330	 233.8301	 31012	  8390	   30594	      22581	  1369	 11784	        10881	    12250	    11341	      8287	            8277	           5982	                235	           4669	             573	               505	   3054	         3051	        3029	             634	         389	           48	           1958
 15660	    85797	 1755997463.4520	 258.9816	 31112	  8269	   30679	      22665	  1002	  9380	         8743	     9745	     8993	      6572	            6567	           4732	                199	           3611	             459	               463	   2421	         2419	        2410	             527	         304	           39	           1540
 15661	    76792	 1756085434.4490	 250.2011	 27556	  7183	   27198	      20166	   894	  7915	         7370	     8264	     7680	      5671	            5665	           4027	                190	           3091	             365	               381	   2009	         2007	        1995	             427	         280	           35	           1253
 15667	    46716	 1756338229.0641	 162.0140	 16472	  4611	   16265	      12114	   914	  7171	         6500	     7414	     6857	      5065	            5062	           3616	                109	           2793	             388	               326	   1792	         1792	        1779	             308	         231	           22	           1218
 15669	    81128	 1756435503.4538	 182.4764	 28934	  8059	   28688	      20896	  2299	 17635	        15521	    17820	    16484	     11809	           11804	           8784	                251	           6698	             982	               853	   4675	         4673	        4647	            1051	         539	          129	           2928
 15670	    86214	 1756518923.8022	 185.2998	 31038	  8499	   30739	      22696	  2681	 18951	        16671	    19352	    17889	     12913	           12903	           9652	                274	           7302	            1172	               904	   4976	         4974	        4948	            1041	         560	          163	           3184
 15671	    86950	 1756605799.5292	 187.6109	 31309	  8268	   31005	      22777	  2563	 18992	        16708	    19271	    17861	     12824	           12811	           9616	                250	           7332	            1128	               906	   5037	         5033	        5006	            1027	         603	          126	           3250
 15672	    86315	 1756692234.0346	 187.7628	 31207	  8214	   30880	      22547	  2475	 19064	        16719	    19194	    17790	     12977	           12967	           9669	                242	           7494	            1098	               835	   4813	         4810	        4783	             899	         586	          122	           3176
 15673	    81544	 1756777358.2805	 179.7306	 29419	  7850	   29113	      21473	  2321	 18144	        15938	    18259	    17276	     12318	           12312	           9152	                240	           7038	            1009	               865	   4958	         4954	        4928	            1009	         631	          137	           3151
 15675	    85817	 1756866758.5881	 187.5240	 30257	  8928	   29964	      22013	  2442	 18522	        16284	    18726	    17458	     12675	           12664	           9508	                235	           7233	            1106	               934	   4783	         4782	        4756	             958	         554	          129	           3115
 15676	    79211	 1756949185.1167	 178.3531	 28268	  8289	   27981	      20472	  2264	 17283	        15286	    17550	    16379	     11915	           11906	           8944	                207	           6881	            1000	               856	   4464	         4463	        4426	             963	         549	          122	           2792
 15679	    83742	 1757039077.2032	 188.3929	 29177	  9790	   28856	      21284	  2374	 17859	        15739	    18113	    16616	     11971	           11967	           9094	                304	           6909	            1055	               826	   4645	         4644	        4618	             944	         577	          159	           2938
 15680	    85296	 1757124411.2886	 192.7062	 29183	  9747	   28878	      21087	  2349	 17694	        15612	    17961	    16377	     11862	           11851	           8962	                271	           6782	            1026	               883	   4515	         4514	        4481	             930	         560	          109	           2882
 15681	    86023	 1757210279.9192	 192.2021	 29606	  9625	   29262	      21338	  2363	 17957	        15825	    18188	    16555	     11902	           11896	           9027	                251	           6848	            1036	               892	   4653	         4652	        4623	             950	         553	          132	           2988
 15682	    65708	 1757286320.3709	 169.7360	 22534	  7483	   22295	      16279	  1778	 13646	        12047	    13825	    12615	      9194	            9190	           6965	                204	           5342	             783	               636	   3421	         3419	        3399	             657	         407	           97	           2238
 15687	    86309	 1757372267.9370	 197.4595	 29497	 10048	   29247	      21245	  2341	 17873	        15746	    18087	    15855	     11410	           11406	           8676	                214	           6657	             956	               849	   4445	         4444	        4419	             863	         563	           98	           2895
 15688	    86399	 1757459059.9065	 198.6535	 29702	 10080	   29366	      21462	  2408	 17979	        15861	    18269	    16026	     11644	           11628	           8837	                236	           6792	             992	               817	   4382	         4380	        4364	             846	         549	          135	           2834
 15689	    85830	 1757545449.9971	 193.7950	 29836	 10086	   29524	      21628	  2296	 18310	        16117	    18413	    16238	     11787	           11782	           9003	                243	           7002	             939	               819	   4451	         4447	        4421	             894	         605	          116	           2806
 15693	    86133	 1757633834.2226	 197.4182	 29546	  9912	   29193	      21393	  2356	 17997	        15706	    18062	    15933	     11554	           11549	           8775	                216	           6753	            1000	               806	   4379	         4376	        4350	             915	         532	          127	           2776
