Run ID	Date_CV	Date_err	Reco_evts

15609	1753149860.7957	178.5054	27865
15614	1753243342.8727	184.9919	28225
15615	1753327824.6337	189.7897	29767
15616	1753413892.1011	189.6876	30124
15617	1753501621.2147	189.1545	31052
15618	1753586638.1847	186.0919	28831
15619	1753666508.1978	179.8442	27165
15621	1753758337.8504	184.6781	28994
15622	1753846053.1102	192.1036	31245
15623	1753931584.5079	180.0733	28210
15624	1754005249.4201	160.8697	22720
15625	1754085487.9726	188.6909	30122
15627	1754267624.4271	157.6737	21692
15632	1754356008.6132	190.7012	30078
15633	1754442451.4676	192.1317	29744
15634	1754528915.4406	190.9189	30034
15635	1754616118.4328	190.0602	30372
15636	1754702321.5884	187.6820	29123
15637	1754782498.6388	178.1706	26326
15639	1754871947.7861	188.0062	30503
15640	1754930670.1222	110.0748	10565
15642	1754962652.9449	101.3375	8635
15643	1755020063.6514	189.1476	31248
15644	1755108759.4881	184.8971	30232
15645	1755194842.3913	186.3117	30186
15647	1755281542.6315	187.2068	30442
15648	1755368391.5946	186.3036	30741
15649	1755455368.6256	185.6241	30270
15650	1755509436.7136	92.5548	7966
15655	1755576428.1100	285.2609	28435
15656	1755656811.5339	243.7943	30309
15657	1755741958.4532	244.6133	30031
15658	1755829303.0761	240.2858	30216
15659	1755914180.0330	233.8301	30594
15660	1755997463.4520	258.9816	30679
15661	1756085434.4490	250.2011	27198
15667	1756338229.0641	162.0140	16265
15669	1756435503.4538	182.4764	28688
15670	1756518923.8022	185.2998	30739
15671	1756605799.5292	187.6109	31005
15672	1756692234.0346	187.7628	30880
15673	1756777358.2805	179.7306	29113
